date,predicted_safari,predicted_everest,predicted_dino
9/2/2022,12,16,14
9/3/2022,24,24,22
9/4/2022,37,34,24
9/5/2022,28,26,20
9/6/2022,22,13,13
9/7/2022,12,10,11
9/8/2022,17,15,11
9/9/2022,20,14,11
9/10/2022,15,16,16
9/11/2022,18,21,17
9/12/2022,19,23,16
9/13/2022,22,12,14
9/14/2022,19,15,14
9/15/2022,24,18,13
9/16/2022,24,12,13
9/17/2022,30,20,15
9/18/2022,33,20,17
9/19/2022,28,17,16
9/20/2022,24,14,18
9/21/2022,20,12,18
9/22/2022,24,14,20
9/23/2022,23,15,18
9/24/2022,38,29,20
9/25/2022,20,13,24
9/26/2022,27,15,20
9/27/2022,30,16,16
9/28/2022,18,9,15
9/29/2022,23,14,16
9/30/2022,31,21,19
10/1/2022,29,25,19
10/2/2022,34,30,22
10/3/2022,30,39,18
10/4/2022,27,20,17
10/5/2022,23,17,20
10/6/2022,23,14,25
10/7/2022,34,33,28
10/8/2022,28,26,23
10/9/2022,56,40,34
10/10/2022,54,35,32
10/11/2022,47,32,26
10/12/2022,27,24,26
10/13/2022,42,30,30
10/14/2022,45,32,32
10/15/2022,30,28,31
10/16/2022,45,29,27
10/17/2022,32,21,21
10/18/2022,28,25,19
10/19/2022,34,21,17
10/20/2022,34,20,17
10/21/2022,44,31,25
10/22/2022,43,36,25
10/23/2022,41,29,28
10/24/2022,29,21,23
10/25/2022,24,19,20
10/26/2022,34,15,20
10/27/2022,21,18,18
10/28/2022,30,23,19
10/29/2022,29,30,19
10/30/2022,25,28,31
10/31/2022,19,18,23
11/1/2022,22,13,17
11/2/2022,17,14,19
11/3/2022,19,15,17
11/4/2022,25,24,17
11/5/2022,36,34,25
11/6/2022,39,37,21
11/7/2022,46,32,19
11/8/2022,37,27,21
11/9/2022,46,24,19
11/10/2022,51,30,22
11/11/2022,54,43,23
11/12/2022,55,32,27
11/13/2022,42,34,23
11/14/2022,31,28,17
11/15/2022,35,20,14
11/16/2022,24,17,12
11/17/2022,30,21,13
11/18/2022,33,30,21
11/19/2022,33,33,26
11/20/2022,59,63,39
11/21/2022,58,65,43
11/22/2022,66,70,46
11/23/2022,63,61,42
11/24/2022,44,49,41
11/25/2022,49,47,29
11/26/2022,50,48,28
11/27/2022,32,26,27
11/28/2022,34,24,24
11/29/2022,34,27,19
11/30/2022,39,35,19
12/1/2022,32,23,9
12/2/2022,27,26,17
12/3/2022,36,31,20
12/4/2022,34,38,25
12/5/2022,34,26,22
12/6/2022,35,26,16
12/7/2022,40,23,16
12/8/2022,31,27,20
12/9/2022,36,27,20
12/10/2022,40,34,25
12/11/2022,59,37,27
12/12/2022,57,32,27
12/13/2022,33,24,19
12/14/2022,21,22,17
12/15/2022,22,27,18
12/16/2022,35,37,25
12/17/2022,38,36,33
12/18/2022,64,55,40
12/19/2022,47,47,41
12/20/2022,61,55,48
12/21/2022,53,49,37
12/22/2022,39,47,30
12/23/2022,37,38,27
12/24/2022,24,32,22
12/25/2022,64,49,30
12/26/2022,70,42,39
12/27/2022,73,55,43
12/28/2022,74,66,50
12/29/2022,66,75,56
12/30/2022,62,64,44
12/31/2022,55,51,43
